participant_declaration_id,delivery_partner_id,urn
4ef84b1e-17eb-4c3f-9e52-21dd6b400224,2f1b821c-856c-4e28-af07-c9b1e1ea458b,135968
23bf66d6-56be-42a4-8780-0c810743d525,2f1b821c-856c-4e28-af07-c9b1e1ea458b,137549
246b279f-ae63-43f5-a2a7-d128184ad3db,2f8523a4-8bd8-44b9-beca-2d723e83c1f7,150283
4c5fe776-154d-4c36-9efc-c9c859232c75,2f8523a4-8bd8-44b9-beca-2d723e83c1f7,150283
4c6597f6-6b71-44aa-8097-5bdddbe4a4dc,2f8523a4-8bd8-44b9-beca-2d723e83c1f7,150283
9cf59b02-87d7-4286-8513-f6bb73dab0f8,2f8523a4-8bd8-44b9-beca-2d723e83c1f7,150283
df8e8d34-ae5e-4b6f-ac34-d248c0743a9c,2f8523a4-8bd8-44b9-beca-2d723e83c1f7,150283
2d9f5e39-570e-43ad-8d08-1f4b681d1294,2f8523a4-8bd8-44b9-beca-2d723e83c1f7,146501
2d45d010-bdb3-46e4-8448-83f4c0a89d99,2f8523a4-8bd8-44b9-beca-2d723e83c1f7,135946
6d9ebce3-d786-4d2a-a67f-bfda5c56ed31,2f8523a4-8bd8-44b9-beca-2d723e83c1f7,148606
1dae2fa6-aea7-4026-aa35-d3ac59906cb9,34774594-1726-47e4-bad7-f336e4cc83e9,122465
e03b18fd-e2c5-4a29-8ce4-427397d1b75c,34774594-1726-47e4-bad7-f336e4cc83e9,122465
a85980d4-1e88-476b-8d94-cfb79f0c113e,34774594-1726-47e4-bad7-f336e4cc83e9,112614
e3b02d80-a542-4c79-8d0a-09c04031531b,34774594-1726-47e4-bad7-f336e4cc83e9,112614
1f0e70eb-8a29-4595-8883-dded433c243f,34774594-1726-47e4-bad7-f336e4cc83e9,122955
5f968251-3b95-4a83-82a8-104b34c62b86,34774594-1726-47e4-bad7-f336e4cc83e9,122955
627a4ad5-8290-4369-943a-e8686ffe0eb1,34774594-1726-47e4-bad7-f336e4cc83e9,122955
be9d10aa-bedb-4aa5-80ab-04bceec99e05,34774594-1726-47e4-bad7-f336e4cc83e9,122955
1528a109-fad0-4daa-aae5-b09d1769b50a,38202174-e3f9-4bbe-b5dd-1a8eeec0f226,146726
230c23ff-ada7-4568-ba95-8b35bb886a59,38202174-e3f9-4bbe-b5dd-1a8eeec0f226,146726
3ad4edd8-39cc-492d-9726-d40c184d2b9d,38202174-e3f9-4bbe-b5dd-1a8eeec0f226,146726
4303b0ca-bfd1-4a76-8519-0a68337eedfd,38202174-e3f9-4bbe-b5dd-1a8eeec0f226,146726
80bcc467-86ba-4c50-bd9f-906134fc4d41,38202174-e3f9-4bbe-b5dd-1a8eeec0f226,146726
98f852d6-380c-4ea1-b1bc-365a54b9eb7d,38202174-e3f9-4bbe-b5dd-1a8eeec0f226,146726
ceb00337-a3e2-49bf-b9fe-0799dc56d28d,38202174-e3f9-4bbe-b5dd-1a8eeec0f226,146726
9202b598-131c-414c-9452-773c8e12dbdf,38202174-e3f9-4bbe-b5dd-1a8eeec0f226,141300
e92eea80-3e47-45fa-b02d-cce6fd564077,38202174-e3f9-4bbe-b5dd-1a8eeec0f226,137924
7d923a96-a705-4784-a210-260bbb0d0095,38202174-e3f9-4bbe-b5dd-1a8eeec0f226,136332
f1df2ef2-a788-4ea0-bde3-4cc10cc1a0fe,38202174-e3f9-4bbe-b5dd-1a8eeec0f226,138595
37e84dde-94c7-4623-9d8f-1f0ffb956096,38202174-e3f9-4bbe-b5dd-1a8eeec0f226,137826
81445a3d-ec1b-4ab9-b7d2-9734311914bf,3a933b3a-77e0-401d-9ce5-1c673a8f595b,144231
f63429a6-b5b9-4cd3-9b45-b01ebce853e9,3a933b3a-77e0-401d-9ce5-1c673a8f595b,145324
79d20e9b-feb8-4a0b-8332-37c844b8bc17,43e3fe10-64ec-4dee-9cba-31b06dbc4201,144766
d10d7302-4d45-4b82-96f6-4accdb5a73eb,441dec4c-3877-426b-b92b-b9bebcc9a1ee,147875
ff96315e-a455-4635-bb4b-a492a7e941ca,441dec4c-3877-426b-b92b-b9bebcc9a1ee,150407
e4872f5d-65eb-48c6-a947-a4d7fd56c7b4,441dec4c-3877-426b-b92b-b9bebcc9a1ee,119184
79fd983b-ed8d-4e26-b508-0e0a5a799540,441dec4c-3877-426b-b92b-b9bebcc9a1ee,134994
3ce88e39-10b9-490e-b106-6b1dc46ab0dc,44a1c15f-50fd-4a24-a14e-a8ea5288086d,143196
96e8996f-3522-4168-8cf8-ad1fcc4332c6,47b4da45-f170-4719-b146-7f479cfa4f77,135959
5b7e64cb-1361-4ef7-9831-9f4bc25cffe9,4c00f6c4-0ada-4ad9-8021-e73144d32564,144861
4a759171-28e7-49c0-b75e-8db1e61ed9a2,4c00f6c4-0ada-4ad9-8021-e73144d32564,135935
4ae8ea60-6341-4f13-ab79-ec6fdfa77607,4c00f6c4-0ada-4ad9-8021-e73144d32564,135935
b5d1e990-7da8-4055-ba4a-62cd582df65a,4c00f6c4-0ada-4ad9-8021-e73144d32564,138190
bea9686f-7eac-4dff-8534-dd31cdcbd8da,4c00f6c4-0ada-4ad9-8021-e73144d32564,107863
0723e9d4-fbe6-487c-8afa-9a2b3557bcf3,4c00f6c4-0ada-4ad9-8021-e73144d32564,135935
0f3681a0-6c8d-4f17-b56b-f3838201cdf4,4c00f6c4-0ada-4ad9-8021-e73144d32564,135935
773ada6d-6408-43df-a235-fe3c434a832e,4c00f6c4-0ada-4ad9-8021-e73144d32564,135771
80c8ba85-cebe-4381-8df5-880fed2f751a,4c00f6c4-0ada-4ad9-8021-e73144d32564,107265
e55de4bb-0b4c-4402-96d6-3bf1f854ceb0,5259de93-5561-4090-9866-453cc15729e2,142900
2d9bdfd1-2c12-421f-8610-8651d2e09dcf,53104545-a0f8-4132-8787-5ee179b8eb4b,107486
9e5c597c-6930-401d-9c73-6df9505c8bce,53104545-a0f8-4132-8787-5ee179b8eb4b,107486
c292d71b-0ac9-4561-b9af-15a6d138e533,53104545-a0f8-4132-8787-5ee179b8eb4b,107486
629cd5eb-a14c-48d1-97dc-303ba9cd92c5,56bf6d6b-a062-4cb7-8fb8-5ad2f6fa610a,112516
682e8ab1-8840-4a7b-ac72-4194e0efe1d0,56bf6d6b-a062-4cb7-8fb8-5ad2f6fa610a,112516
690258a7-9e31-4fbb-9b71-1b45900b8816,56bf6d6b-a062-4cb7-8fb8-5ad2f6fa610a,112516
70ba3ed1-b278-4a80-b71f-05711bf84265,56bf6d6b-a062-4cb7-8fb8-5ad2f6fa610a,112516
735d291b-48da-4cc0-acb7-b40145409d03,56bf6d6b-a062-4cb7-8fb8-5ad2f6fa610a,112516
d403afd6-bcaf-498b-9089-0feca9990cfb,56bf6d6b-a062-4cb7-8fb8-5ad2f6fa610a,112516
cbd5e3bc-3078-4949-bb1e-d91f5d86101d,56bf6d6b-a062-4cb7-8fb8-5ad2f6fa610a,141544
518091d0-66b9-4107-bbe2-a17124d046d6,56bf6d6b-a062-4cb7-8fb8-5ad2f6fa610a,140548
f394b1d5-f58e-4209-8f98-c8c919c3a4de,56bf6d6b-a062-4cb7-8fb8-5ad2f6fa610a,140548
690f61c8-bb03-4d3f-8b9c-c6ccc8237ab4,56bf6d6b-a062-4cb7-8fb8-5ad2f6fa610a,138628
ab25d5a3-b686-40e4-98dd-5920f712d730,56bf6d6b-a062-4cb7-8fb8-5ad2f6fa610a,138628
180db365-90d3-4dd2-ac6c-7d0fa38cda6b,56bf6d6b-a062-4cb7-8fb8-5ad2f6fa610a,112614
e66e9d34-bf69-4402-b866-5b4064403419,56bf6d6b-a062-4cb7-8fb8-5ad2f6fa610a,112614
05beb829-344e-4383-b60b-6b46f9bdeb3b,56bf6d6b-a062-4cb7-8fb8-5ad2f6fa610a,146839
e5217a27-442e-4e4c-aee5-ef87847e8ab9,56bf6d6b-a062-4cb7-8fb8-5ad2f6fa610a,146839
9f33e68e-7f22-4e95-b0d7-1d1e685b7d3e,56bf6d6b-a062-4cb7-8fb8-5ad2f6fa610a,112951
f5065b88-9c88-4d63-9597-916f5c3ec14a,56bf6d6b-a062-4cb7-8fb8-5ad2f6fa610a,112951
f90596c5-e8d0-422e-b246-976cf554956f,56bf6d6b-a062-4cb7-8fb8-5ad2f6fa610a,147685
fc2f1f01-cf33-4189-a83d-4a9d0c534bb6,56bf6d6b-a062-4cb7-8fb8-5ad2f6fa610a,147685
4f4d0e15-2444-4285-9153-cec7e3caddf4,56bf6d6b-a062-4cb7-8fb8-5ad2f6fa610a,143622
be001f58-d633-48d8-bcde-da525a14973c,56bf6d6b-a062-4cb7-8fb8-5ad2f6fa610a,143622
