la_code,est_no,urn,name,source_est_type,gias_establishment_type,s41_granted,s41_revoked
850,7901,,Oarsome Chance,Special post-16 institution,,,01/05/2022
936,6021,147036,Bramley Hill School,Independent special school,Other independent special school,,01/05/2022
315,6081,134594,Lavender Lodge School,Independent special school,Other independent special school,,01/05/2022
319,6074,135801,Greenholm School,Independent special school,Other independent special school,,01/05/2022
803,6000,109353,Sheiling School,Independent special school,Other independent special school,,01/05/2022
919,6215,117646,Radlett Lodge School,Independent special school,Other independent special school,,01/04/2022
370,6004,106965,The Robert Ogden School,Independent special school,Other independent special school,,01/04/2022
307,6064,101953,The Sybil Elgar School,Independent special school,Other independent special school,,01/04/2022
207,6408,135616,Snowflake School,Independent special school,Other independent special school,,01/04/2022
830,6033,131327,The Linnet Independent Learning Centre,Independent special school,Other independent special school,,01/04/2022
810,6004,,Horton House School,Independent special school,,,01/04/2022
888,6048,132828,Westmorland School,Independent special school,Other independent special school,,01/03/2022
208,6001,138803,"Octavia House Schools, London",Independent special school,Other independent special school,,01/03/2022
919,7904,132015,St Elizabeth's Centre,Special post-16 institution,Special post 16 institution,,01/03/2022
208,7900,146042,The Michael Tippett College,Special post-16 institution,Special post 16 institution,,01/03/2022
371,6005,106814,Wilsic Hall School,Independent special school,Other independent special school,,01/03/2022
929,7904,131868,Cambian Dilston College,Special post-16 institution,Special post 16 institution,,01/03/2022
830,6027,134395,New Direction,Independent special school,Other independent special school,,01/12/2021
880,7901,142909,Eat That Frog C.I.C,Special post-16 institution,Special post 16 institution,,01/11/2021
,,,V Learning Net,Special post-16 institution,,,01/03/2021
333,6004,135518,Bloomfield School,Independent special school,Other independent special school,,01/08/2021
936,6593,135577,Kisimul School,Independent special school,Other independent special school,,01/08/2021
845,6054,134634,Step by Step School Limited,Independent special school,Other independent special school,,01/08/2021
886,6108,134605,The Quest School,Independent special school,Other independent special school,,01/08/2021
886,6079,131611,West Heath School,Independent special school,Other independent special school,,01/08/2021
869,6014,132003,Priors Court School,Independent special school,Other independent special school,,01/12/2020
384,6004,142674,Hall Cliffe Primary School,Independent special school,Other independent special school,,01/12/2020
888,6050,133540,Pontville School,Independent special school,Other independent special school,,01/12/2020
866,7906,141504,Uplands Educational Trust,Special post-16 institution,Special post 16 institution,,01/12/2020
933,6200,131975,North Hill House,Independent special school,Other independent special school,,10/08/2020
850,6058,116588,Grateley House School,Independent special school,Other independent special school,,10/08/2020
886,7914,,The FAR Academy CIC,Special post-16 institution,,,01/08/2020
931,6000,137334,Chilworth House Upper School,Independent special school,Other independent special school,,06/08/2020
931,6125,131064,Chilworth House School,Independent special school,Other independent special school,,30/08/2020
908,7900,,Kehelland Horticulture Centre,Special post-16 institution,,,01/04/2020
929,7905,,Brightside Adult Services Limited,Special post-16 institution,,,01/04/2020
926,6041,121229,Aurora Eccles School,Independent special school,Other independent special school,,01/12/2019
801,6008,109342,Aurora Grace House School,Independent special school,Other independent special school,,01/12/2019
855,6020,134438,Castleview School,Independent special school,Other independent special school,,01/08/2019
933,7907,131921,Cambian Lufton College,Special post-16 institution,Special post 16 institution,,01/08/2019
925,6034,120740,Kisimul School,Independent special school,Other independent special school,,01/07/2019
866,7904,131888,Priory College Swindon,Special post-16 institution,Special post 16 institution,,01/06/2019
826,6015,142322,Cambian Bletchley Park School,Independent special school,Other independent special school,,01/04/2019
881,6032,115426,Doucecroft School,Independent special school,Other independent special school,,01/04/2019
315,6005,140421,Face Youth Therapeutic School,Independent special school,Other independent special school,,01/04/2019
